epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,47.95,2.1988,30.5856,2.00477,0.04433,0.07456,0.04582,0.03438,1.62116,18.6897,1.43868,0.000353242,0.000117747,0.000353242,0.000117747,0.000353242,0.000117747,0.000353242,0.000117747
2,90.9969,1.96933,21.4517,1.86479,0.42048,0.17853,0.14859,0.09032,1.81749,13.7773,1.61037,0.000705555,0.000235185,0.000705555,0.000235185,0.000705555,0.000235185,0.000705555,0.000235185
3,132.614,1.79101,15.5236,1.7223,0.42798,0.38482,0.31125,0.16682,2.03375,10.8699,1.73348,0.00105315,0.000351052,0.00105315,0.000351052,0.00105315,0.000351052,0.00105315,0.000351052
4,174.272,1.64659,11.6741,1.60113,0.44981,0.48424,0.45412,0.25377,1.9776,9.18492,1.61255,0.00104979,0.000349931,0.00104979,0.000349931,0.00104979,0.000349931,0.00104979,0.000349931
5,215.278,1.52504,9.08855,1.49986,0.55434,0.55933,0.57861,0.30666,2.09083,8.2021,1.64113,0.00104273,0.000347575,0.00104273,0.000347575,0.00104273,0.000347575,0.00104273,0.000347575
6,256.226,1.43678,7.67398,1.41991,0.60744,0.58623,0.62778,0.33289,2.0688,7.78331,1.65673,0.00103566,0.000345219,0.00103566,0.000345219,0.00103566,0.000345219,0.00103566,0.000345219
7,296.861,1.41339,7.02389,1.41353,0.64792,0.58752,0.66205,0.34667,2.1374,7.70163,1.73393,0.00102859,0.000342863,0.00102859,0.000342863,0.00102859,0.000342863,0.00102859,0.000342863
8,337.614,1.36697,6.28958,1.37493,0.6692,0.63995,0.69285,0.37097,2.07631,7.31562,1.71988,0.00102152,0.000340507,0.00102152,0.000340507,0.00102152,0.000340507,0.00102152,0.000340507
9,378.479,1.31445,5.72968,1.35235,0.68278,0.65393,0.71047,0.38047,2.06322,7.31832,1.70945,0.00101445,0.00033815,0.00101445,0.00033815,0.00101445,0.00033815,0.00101445,0.00033815
10,419.352,1.29414,5.37803,1.32765,0.6989,0.66479,0.71681,0.38653,2.09229,7.47901,1.72619,0.00100738,0.000335794,0.00100738,0.000335794,0.00100738,0.000335794,0.00100738,0.000335794
11,460.673,1.27151,5.09504,1.32068,0.70237,0.67271,0.70993,0.38415,2.06753,7.24261,1.74161,0.00100031,0.000333438,0.00100031,0.000333438,0.00100031,0.000333438,0.00100031,0.000333438
12,502.187,1.28489,4.85305,1.32225,0.70822,0.6919,0.7256,0.38539,2.16564,7.02586,1.7989,0.000993245,0.000331082,0.000993245,0.000331082,0.000993245,0.000331082,0.000993245,0.000331082
13,543.056,1.2267,4.63479,1.29357,0.72502,0.66799,0.72853,0.39305,2.14036,6.96377,1.79439,0.000986177,0.000328726,0.000986177,0.000328726,0.000986177,0.000328726,0.000986177,0.000328726
14,584.004,1.23535,4.50075,1.29379,0.72951,0.69798,0.73841,0.41309,1.99689,7.05426,1.68929,0.000979108,0.000326369,0.000979108,0.000326369,0.000979108,0.000326369,0.000979108,0.000326369
15,624.537,1.20223,4.33959,1.27766,0.7367,0.69254,0.73047,0.39836,2.0498,7.28641,1.74155,0.00097204,0.000324013,0.00097204,0.000324013,0.00097204,0.000324013,0.00097204,0.000324013
16,665.148,1.19695,4.19695,1.27502,0.73094,0.69046,0.73634,0.40196,2.07437,7.095,1.75475,0.000964971,0.000321657,0.000964971,0.000321657,0.000964971,0.000321657,0.000964971,0.000321657
17,705.729,1.19971,4.20626,1.25719,0.73316,0.69415,0.73518,0.40329,2.08402,6.92035,1.78043,0.000957902,0.000319301,0.000957902,0.000319301,0.000957902,0.000319301,0.000957902,0.000319301
18,746.623,1.14314,3.868,1.24275,0.73948,0.69623,0.73409,0.40414,2.09744,7.04739,1.79011,0.000950834,0.000316945,0.000950834,0.000316945,0.000950834,0.000316945,0.000950834,0.000316945
19,787.261,1.17503,3.97015,1.26085,0.73095,0.69494,0.73179,0.41339,2.0449,6.7433,1.76793,0.000943765,0.000314588,0.000943765,0.000314588,0.000943765,0.000314588,0.000943765,0.000314588
20,828.233,1.16794,3.80376,1.25421,0.7296,0.7034,0.73776,0.40816,2.083,6.73587,1.79893,0.000936697,0.000312232,0.000936697,0.000312232,0.000936697,0.000312232,0.000936697,0.000312232
21,869.071,1.14465,3.7473,1.23514,0.74207,0.69271,0.73503,0.40077,2.12647,6.86614,1.83774,0.000929628,0.000309876,0.000929628,0.000309876,0.000929628,0.000309876,0.000929628,0.000309876
22,909.783,1.16518,3.69466,1.24396,0.7356,0.70301,0.73878,0.41377,2.12683,6.63957,1.82534,0.000922559,0.00030752,0.000922559,0.00030752,0.000922559,0.00030752,0.000922559,0.00030752
23,950.61,1.1475,3.52197,1.22034,0.72613,0.71275,0.73775,0.4202,2.07313,6.66326,1.80593,0.000915491,0.000305164,0.000915491,0.000305164,0.000915491,0.000305164,0.000915491,0.000305164
24,991.515,1.1279,3.56321,1.23456,0.74353,0.71094,0.73731,0.42028,2.05309,6.78476,1.78317,0.000908422,0.000302807,0.000908422,0.000302807,0.000908422,0.000302807,0.000908422,0.000302807
25,1032.52,1.11696,3.46577,1.21868,0.73235,0.71058,0.74156,0.4279,2.02318,6.9129,1.77467,0.000901354,0.000300451,0.000901354,0.000300451,0.000901354,0.000300451,0.000901354,0.000300451
26,1073.47,1.12801,3.51417,1.2425,0.73794,0.7027,0.73781,0.42318,2.04813,6.85982,1.80684,0.000894285,0.000298095,0.000894285,0.000298095,0.000894285,0.000298095,0.000894285,0.000298095
27,1114.3,1.12524,3.48708,1.22401,0.73303,0.71267,0.7397,0.42082,2.064,6.85363,1.82955,0.000887216,0.000295739,0.000887216,0.000295739,0.000887216,0.000295739,0.000887216,0.000295739
28,1155.07,1.09221,3.38095,1.1935,0.73847,0.71012,0.74275,0.42898,2.02657,6.7774,1.80261,0.000880148,0.000293383,0.000880148,0.000293383,0.000880148,0.000293383,0.000880148,0.000293383
29,1195.82,1.1017,3.43258,1.21088,0.7464,0.70733,0.74087,0.43038,2.00358,6.80911,1.7803,0.000873079,0.000291026,0.000873079,0.000291026,0.000873079,0.000291026,0.000873079,0.000291026
30,1236.36,1.08433,3.33347,1.21415,0.74373,0.71384,0.74093,0.422,2.09612,6.59119,1.85037,0.000866011,0.00028867,0.000866011,0.00028867,0.000866011,0.00028867,0.000866011,0.00028867
31,1276.97,1.09033,3.18686,1.19919,0.75847,0.70657,0.74413,0.42032,2.09176,6.75262,1.8427,0.000858942,0.000286314,0.000858942,0.000286314,0.000858942,0.000286314,0.000858942,0.000286314
32,1317.6,1.08249,3.13172,1.20518,0.75588,0.71157,0.74608,0.43548,2.04131,6.83299,1.79357,0.000851873,0.000283958,0.000851873,0.000283958,0.000851873,0.000283958,0.000851873,0.000283958
33,1358.43,1.09242,3.26897,1.21131,0.74941,0.70929,0.74107,0.42554,2.06338,6.8709,1.86178,0.000844805,0.000281602,0.000844805,0.000281602,0.000844805,0.000281602,0.000844805,0.000281602
34,1399.27,1.0859,3.24953,1.20941,0.74023,0.71271,0.73771,0.4189,2.11466,6.80261,1.85971,0.000837736,0.000279245,0.000837736,0.000279245,0.000837736,0.000279245,0.000837736,0.000279245
35,1439.88,1.09872,3.23636,1.20572,0.74091,0.70872,0.74222,0.42805,2.09562,6.73316,1.87474,0.000830668,0.000276889,0.000830668,0.000276889,0.000830668,0.000276889,0.000830668,0.000276889
36,1480.47,1.06291,3.15603,1.19884,0.75099,0.70922,0.74247,0.42398,2.12372,6.73035,1.89283,0.000823599,0.000274533,0.000823599,0.000274533,0.000823599,0.000274533,0.000823599,0.000274533
37,1521.39,1.0431,2.9591,1.18062,0.75403,0.70919,0.74923,0.43286,2.03551,6.58941,1.8509,0.00081653,0.000272177,0.00081653,0.000272177,0.00081653,0.000272177,0.00081653,0.000272177
38,1562.21,1.06166,3.05011,1.18693,0.75001,0.71841,0.74296,0.43102,2.08071,6.69945,1.85081,0.000809462,0.000269821,0.000809462,0.000269821,0.000809462,0.000269821,0.000809462,0.000269821
39,1602.76,1.05997,3.00225,1.18197,0.74762,0.70658,0.74271,0.43471,2.05804,6.76528,1.82413,0.000802393,0.000267464,0.000802393,0.000267464,0.000802393,0.000267464,0.000802393,0.000267464
40,1643.39,1.0582,3.0061,1.18252,0.74945,0.7065,0.74413,0.42337,2.09289,6.84133,1.89363,0.000795325,0.000265108,0.000795325,0.000265108,0.000795325,0.000265108,0.000795325,0.000265108
41,1683.96,1.03478,2.95259,1.18071,0.75705,0.69621,0.74234,0.42941,2.08626,6.60924,1.87743,0.000788256,0.000262752,0.000788256,0.000262752,0.000788256,0.000262752,0.000788256,0.000262752
42,1724.59,1.03197,2.93106,1.1726,0.75343,0.70718,0.74643,0.4298,2.12612,6.59215,1.92336,0.000781187,0.000260396,0.000781187,0.000260396,0.000781187,0.000260396,0.000781187,0.000260396
43,1765.06,1.06014,2.96304,1.17988,0.75272,0.70953,0.74634,0.4285,2.10629,6.63926,1.89103,0.000774119,0.00025804,0.000774119,0.00025804,0.000774119,0.00025804,0.000774119,0.00025804
44,1805.6,1.04884,2.90233,1.16542,0.74632,0.70666,0.74289,0.43518,2.02388,6.82677,1.8223,0.00076705,0.000255683,0.00076705,0.000255683,0.00076705,0.000255683,0.00076705,0.000255683
45,1846.19,1.03823,2.88773,1.17245,0.74992,0.71594,0.74545,0.43464,2.01781,6.8723,1.8353,0.000759982,0.000253327,0.000759982,0.000253327,0.000759982,0.000253327,0.000759982,0.000253327
46,1887.06,1.03529,2.884,1.16832,0.72895,0.73053,0.74629,0.43295,2.05823,6.76159,1.85903,0.000752913,0.000250971,0.000752913,0.000250971,0.000752913,0.000250971,0.000752913,0.000250971
47,1927.76,1.03557,2.87008,1.17359,0.75338,0.71633,0.74788,0.43864,2.04731,6.70549,1.85052,0.000745844,0.000248615,0.000745844,0.000248615,0.000745844,0.000248615,0.000745844,0.000248615
48,1968.6,1.02073,2.89535,1.17125,0.73778,0.70938,0.74425,0.43055,2.07344,6.73095,1.8753,0.000738776,0.000246259,0.000738776,0.000246259,0.000738776,0.000246259,0.000738776,0.000246259
49,2009.03,1.03313,2.85608,1.16561,0.74466,0.70783,0.7436,0.43209,2.07017,6.75697,1.87146,0.000731707,0.000243902,0.000731707,0.000243902,0.000731707,0.000243902,0.000731707,0.000243902
50,2049.8,1.02451,2.87089,1.16535,0.74924,0.69864,0.74319,0.43582,2.06201,6.74851,1.87516,0.000724639,0.000241546,0.000724639,0.000241546,0.000724639,0.000241546,0.000724639,0.000241546
51,2090.34,1.02,2.90448,1.1735,0.74371,0.70187,0.73855,0.43295,2.0613,6.94383,1.87393,0.00071757,0.00023919,0.00071757,0.00023919,0.00071757,0.00023919,0.00071757,0.00023919
52,2131.22,1.01029,2.78467,1.16724,0.74835,0.70218,0.74169,0.43917,2.00128,6.82333,1.86262,0.000710501,0.000236834,0.000710501,0.000236834,0.000710501,0.000236834,0.000710501,0.000236834
53,2171.95,1.03098,2.88136,1.17891,0.7444,0.70963,0.73859,0.43854,2.01651,6.84618,1.86122,0.000703433,0.000234478,0.000703433,0.000234478,0.000703433,0.000234478,0.000703433,0.000234478
54,2212.57,1.03674,2.89588,1.17478,0.74163,0.72304,0.7424,0.43615,2.07222,6.60147,1.87495,0.000696364,0.000232121,0.000696364,0.000232121,0.000696364,0.000232121,0.000696364,0.000232121
55,2253.25,1.00334,2.74839,1.16667,0.73654,0.70655,0.73799,0.43912,2.06072,6.66147,1.87762,0.000689296,0.000229765,0.000689296,0.000229765,0.000689296,0.000229765,0.000689296,0.000229765
56,2294.09,1.00561,2.72767,1.16046,0.73618,0.71418,0.74508,0.44278,2.04151,6.61516,1.87872,0.000682227,0.000227409,0.000682227,0.000227409,0.000682227,0.000227409,0.000682227,0.000227409
57,2334.73,1.017,2.76795,1.16745,0.73238,0.7175,0.74409,0.43668,2.08575,6.63157,1.91049,0.000675158,0.000225053,0.000675158,0.000225053,0.000675158,0.000225053,0.000675158,0.000225053
58,2375.44,1.02805,2.81039,1.17491,0.74523,0.7043,0.73751,0.4399,2.05481,6.56084,1.8977,0.00066809,0.000222697,0.00066809,0.000222697,0.00066809,0.000222697,0.00066809,0.000222697
59,2416.08,0.98755,2.68655,1.14774,0.73622,0.70562,0.7381,0.43616,2.05744,6.57286,1.91283,0.000661021,0.00022034,0.000661021,0.00022034,0.000661021,0.00022034,0.000661021,0.00022034
60,2456.82,1.00693,2.75792,1.15994,0.73683,0.71834,0.74435,0.4478,2.03415,6.38982,1.88671,0.000653953,0.000217984,0.000653953,0.000217984,0.000653953,0.000217984,0.000653953,0.000217984
61,2497.75,0.99576,2.65009,1.14556,0.72584,0.72045,0.74065,0.43802,2.12904,6.44414,1.96211,0.000646884,0.000215628,0.000646884,0.000215628,0.000646884,0.000215628,0.000646884,0.000215628
62,2538.35,1.01492,2.72021,1.16994,0.73514,0.72373,0.74312,0.44085,2.0872,6.47743,1.93432,0.000639815,0.000213272,0.000639815,0.000213272,0.000639815,0.000213272,0.000639815,0.000213272
63,2578.88,0.9986,2.61624,1.15445,0.73139,0.72402,0.74237,0.4379,2.10488,6.41971,1.9439,0.000632747,0.000210916,0.000632747,0.000210916,0.000632747,0.000210916,0.000632747,0.000210916
64,2619.65,0.99928,2.67687,1.15414,0.73419,0.7242,0.74137,0.44962,2.02313,6.3949,1.88593,0.000625678,0.000208559,0.000625678,0.000208559,0.000625678,0.000208559,0.000625678,0.000208559
65,2660.65,0.99702,2.60102,1.14879,0.74653,0.71631,0.74153,0.44985,1.99721,6.54185,1.86315,0.00061861,0.000206203,0.00061861,0.000206203,0.00061861,0.000206203,0.00061861,0.000206203
66,2701.42,0.97974,2.57172,1.1334,0.74759,0.71566,0.74357,0.44768,2.04744,6.5644,1.88601,0.000611541,0.000203847,0.000611541,0.000203847,0.000611541,0.000203847,0.000611541,0.000203847
67,2742.12,1.0058,2.65085,1.15243,0.73676,0.71545,0.73822,0.43898,2.07712,6.63373,1.90116,0.000604472,0.000201491,0.000604472,0.000201491,0.000604472,0.000201491,0.000604472,0.000201491
68,2782.85,0.98332,2.62716,1.13732,0.73431,0.72371,0.74326,0.44617,2.01752,6.69322,1.88637,0.000597404,0.000199135,0.000597404,0.000199135,0.000597404,0.000199135,0.000597404,0.000199135
69,2823.46,0.96958,2.57939,1.14416,0.74448,0.71386,0.74319,0.43776,2.08756,6.63696,1.94616,0.000590335,0.000196778,0.000590335,0.000196778,0.000590335,0.000196778,0.000590335,0.000196778
70,2864.25,0.99689,2.59588,1.15351,0.73747,0.71347,0.74004,0.43463,2.11718,6.529,1.96109,0.000583267,0.000194422,0.000583267,0.000194422,0.000583267,0.000194422,0.000583267,0.000194422
71,2904.98,0.95455,2.54172,1.12567,0.75463,0.69997,0.74316,0.45206,2.01501,6.44572,1.86699,0.000576198,0.000192066,0.000576198,0.000192066,0.000576198,0.000192066,0.000576198,0.000192066
72,2945.71,0.9792,2.52782,1.14119,0.75911,0.70287,0.73963,0.43928,2.0712,6.54021,1.89899,0.000569129,0.00018971,0.000569129,0.00018971,0.000569129,0.00018971,0.000569129,0.00018971
73,2986.64,0.97811,2.51239,1.14857,0.74368,0.70955,0.74054,0.43989,2.06285,6.62469,1.91977,0.000562061,0.000187354,0.000562061,0.000187354,0.000562061,0.000187354,0.000562061,0.000187354
74,3027.65,0.98068,2.54518,1.1493,0.74317,0.72195,0.74496,0.43886,2.09215,6.45152,1.96306,0.000554992,0.000184997,0.000554992,0.000184997,0.000554992,0.000184997,0.000554992,0.000184997
75,3068.4,0.97961,2.52066,1.14408,0.74578,0.72102,0.74708,0.4465,2.05493,6.46181,1.92761,0.000547924,0.000182641,0.000547924,0.000182641,0.000547924,0.000182641,0.000547924,0.000182641
76,3109.47,0.94933,2.5424,1.13245,0.74801,0.71285,0.74652,0.44864,2.02434,6.46252,1.90475,0.000540855,0.000180285,0.000540855,0.000180285,0.000540855,0.000180285,0.000540855,0.000180285
77,3150.49,0.96917,2.54129,1.1307,0.73387,0.72783,0.74392,0.44423,2.04767,6.40859,1.94553,0.000533786,0.000177929,0.000533786,0.000177929,0.000533786,0.000177929,0.000533786,0.000177929
78,3191.14,0.97298,2.49151,1.13257,0.75442,0.71391,0.74507,0.44621,2.05511,6.47496,1.9209,0.000526718,0.000175573,0.000526718,0.000175573,0.000526718,0.000175573,0.000526718,0.000175573
79,3231.81,0.95728,2.49567,1.1298,0.7504,0.70568,0.73792,0.44197,2.06428,6.47678,1.92643,0.000519649,0.000173216,0.000519649,0.000173216,0.000519649,0.000173216,0.000519649,0.000173216
80,3272.52,0.96545,2.49069,1.13418,0.75818,0.71678,0.74853,0.44552,2.09076,6.47298,1.94165,0.000512581,0.00017086,0.000512581,0.00017086,0.000512581,0.00017086,0.000512581,0.00017086
81,3313.09,0.97201,2.56548,1.14065,0.74051,0.72593,0.74613,0.44642,2.05316,6.45544,1.91988,0.000505512,0.000168504,0.000505512,0.000168504,0.000505512,0.000168504,0.000505512,0.000168504
82,3353.69,0.96503,2.48408,1.13866,0.75083,0.71488,0.7424,0.44068,2.08369,6.56938,1.95501,0.000498443,0.000166148,0.000498443,0.000166148,0.000498443,0.000166148,0.000498443,0.000166148
83,3394.07,0.95967,2.50703,1.1269,0.74385,0.72539,0.74515,0.44482,2.06744,6.60388,1.94499,0.000491375,0.000163792,0.000491375,0.000163792,0.000491375,0.000163792,0.000491375,0.000163792
84,3434.45,0.95933,2.46929,1.12663,0.73925,0.72506,0.74491,0.45113,2.01816,6.47703,1.90919,0.000484306,0.000161435,0.000484306,0.000161435,0.000484306,0.000161435,0.000484306,0.000161435
85,3475.17,0.9677,2.50267,1.13463,0.74736,0.71718,0.74163,0.44465,2.10283,6.47251,1.97328,0.000477238,0.000159079,0.000477238,0.000159079,0.000477238,0.000159079,0.000477238,0.000159079
86,3515.84,0.9503,2.46734,1.12041,0.74378,0.72399,0.74238,0.44748,2.07571,6.32218,1.96795,0.000470169,0.000156723,0.000470169,0.000156723,0.000470169,0.000156723,0.000470169,0.000156723
87,3556.39,0.97768,2.5363,1.13028,0.75938,0.70593,0.74128,0.44369,2.09029,6.4069,1.97102,0.0004631,0.000154367,0.0004631,0.000154367,0.0004631,0.000154367,0.0004631,0.000154367
88,3597.14,0.95806,2.50765,1.12548,0.74951,0.72104,0.74253,0.44961,2.08227,6.38575,1.96287,0.000456032,0.000152011,0.000456032,0.000152011,0.000456032,0.000152011,0.000456032,0.000152011
89,3637.71,0.92841,2.38827,1.11758,0.74723,0.70675,0.73805,0.44338,2.13187,6.36799,2.00285,0.000448963,0.000149654,0.000448963,0.000149654,0.000448963,0.000149654,0.000448963,0.000149654
90,3678.27,0.96073,2.44478,1.12717,0.7435,0.71401,0.73897,0.44415,2.12056,6.51171,2.00205,0.000441895,0.000147298,0.000441895,0.000147298,0.000441895,0.000147298,0.000441895,0.000147298
91,3719.11,0.94438,2.41644,1.11848,0.745,0.71662,0.74004,0.44927,2.05314,6.57152,1.95582,0.000434826,0.000144942,0.000434826,0.000144942,0.000434826,0.000144942,0.000434826,0.000144942
92,3759.93,0.93585,2.39755,1.12965,0.74862,0.70653,0.74146,0.45232,2.05887,6.60629,1.94702,0.000427757,0.000142586,0.000427757,0.000142586,0.000427757,0.000142586,0.000427757,0.000142586
93,3800.93,0.93516,2.41998,1.11703,0.75278,0.70587,0.74025,0.45378,2.02438,6.60012,1.91618,0.000420689,0.00014023,0.000420689,0.00014023,0.000420689,0.00014023,0.000420689,0.00014023
94,3841.86,0.96368,2.4023,1.1319,0.74807,0.71532,0.74403,0.44972,2.05247,6.61295,1.9455,0.00041362,0.000137873,0.00041362,0.000137873,0.00041362,0.000137873,0.00041362,0.000137873
95,3882.55,0.93735,2.35305,1.11921,0.74959,0.71596,0.74636,0.45111,2.08039,6.49679,1.9543,0.000406552,0.000135517,0.000406552,0.000135517,0.000406552,0.000135517,0.000406552,0.000135517
96,3923.26,0.97275,2.50513,1.14391,0.75598,0.7031,0.74174,0.44858,2.09036,6.46687,1.95181,0.000399483,0.000133161,0.000399483,0.000133161,0.000399483,0.000133161,0.000399483,0.000133161
97,3964.15,0.95771,2.46687,1.13534,0.75199,0.70351,0.74041,0.44775,2.08295,6.50851,1.96722,0.000392414,0.000130805,0.000392414,0.000130805,0.000392414,0.000130805,0.000392414,0.000130805
98,4004.78,0.9299,2.37678,1.12063,0.75042,0.71084,0.74204,0.44809,2.09569,6.41687,1.97602,0.000385346,0.000128449,0.000385346,0.000128449,0.000385346,0.000128449,0.000385346,0.000128449
99,4045.47,0.93751,2.45872,1.12557,0.74528,0.7124,0.74516,0.44591,2.10784,6.33719,1.99888,0.000378277,0.000126092,0.000378277,0.000126092,0.000378277,0.000126092,0.000378277,0.000126092
100,4086.09,0.9391,2.39567,1.11368,0.75122,0.71533,0.74507,0.45115,2.0805,6.31589,1.97915,0.000371209,0.000123736,0.000371209,0.000123736,0.000371209,0.000123736,0.000371209,0.000123736
101,4126.6,0.94731,2.38629,1.13632,0.74487,0.72007,0.74269,0.44813,2.07702,6.31855,1.97756,0.00036414,0.00012138,0.00036414,0.00012138,0.00036414,0.00012138,0.00036414,0.00012138
102,4167.37,0.94928,2.39494,1.12498,0.74435,0.72117,0.74291,0.44822,2.10676,6.13406,2.00096,0.000357071,0.000119024,0.000357071,0.000119024,0.000357071,0.000119024,0.000357071,0.000119024
103,4208.14,0.94503,2.38513,1.11908,0.73905,0.72554,0.74336,0.45229,2.08445,6.19471,1.97469,0.000350003,0.000116668,0.000350003,0.000116668,0.000350003,0.000116668,0.000350003,0.000116668
104,4248.81,0.94095,2.45883,1.1242,0.75348,0.7121,0.7429,0.44677,2.11067,6.28219,2.00681,0.000342934,0.000114311,0.000342934,0.000114311,0.000342934,0.000114311,0.000342934,0.000114311
105,4289.67,0.93503,2.42803,1.12476,0.74672,0.72062,0.74383,0.45157,2.07133,6.30946,1.97956,0.000335866,0.000111955,0.000335866,0.000111955,0.000335866,0.000111955,0.000335866,0.000111955
