epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,50.9554,2.20054,31.2894,2.00148,0.04801,0.07278,0.03745,0.02902,1.75205,19.1827,1.5578,0.000352989,0.000117663,0.000352989,0.000117663,0.000352989,0.000117663,0.000352989,0.000117663
2,92.8034,1.99178,22.249,1.88905,0.46045,0.2003,0.15205,0.09349,1.92543,13.5509,1.70616,0.000705303,0.000235101,0.000705303,0.000235101,0.000705303,0.000235101,0.000705303,0.000235101
3,132.905,1.81914,16.1692,1.71992,0.40936,0.40738,0.32597,0.17692,2.11345,10.5883,1.80733,0.0010529,0.000350968,0.0010529,0.000350968,0.0010529,0.000350968,0.0010529,0.000350968
4,172.452,1.68537,12.2557,1.61182,0.55477,0.48351,0.47311,0.23981,2.22617,8.64663,1.81134,0.00104979,0.000349931,0.00104979,0.000349931,0.00104979,0.000349931,0.00104979,0.000349931
5,212.355,1.62794,9.94849,1.55696,0.51876,0.52851,0.53817,0.27271,2.27146,8.107,1.79148,0.00104273,0.000347575,0.00104273,0.000347575,0.00104273,0.000347575,0.00104273,0.000347575
6,253.247,1.49451,7.85381,1.45498,0.57711,0.61269,0.61661,0.31287,2.27605,7.27544,1.80356,0.00103566,0.000345219,0.00103566,0.000345219,0.00103566,0.000345219,0.00103566,0.000345219
7,294.404,1.46152,7.13307,1.42889,0.61933,0.6393,0.64311,0.32614,2.28103,7.24388,1.8288,0.00102859,0.000342863,0.00102859,0.000342863,0.00102859,0.000342863,0.00102859,0.000342863
8,334.876,1.38946,6.29484,1.39897,0.69621,0.66888,0.69365,0.36053,2.25171,6.91216,1.83646,0.00102152,0.000340507,0.00102152,0.000340507,0.00102152,0.000340507,0.00102152,0.000340507
9,375.476,1.3707,5.84705,1.38139,0.67504,0.70285,0.71722,0.36964,2.2976,6.5302,1.88652,0.00101445,0.00033815,0.00101445,0.00033815,0.00101445,0.00033815,0.00101445,0.00033815
10,416.406,1.34228,5.57256,1.36282,0.72115,0.70241,0.70949,0.37692,2.25515,6.45148,1.8438,0.00100738,0.000335794,0.00100738,0.000335794,0.00100738,0.000335794,0.00100738,0.000335794
11,457.792,1.32313,5.37495,1.34237,0.7112,0.70146,0.71129,0.38075,2.28846,6.34433,1.87227,0.00100031,0.000333438,0.00100031,0.000333438,0.00100031,0.000333438,0.00100031,0.000333438
12,498.222,1.29096,4.93379,1.32892,0.70488,0.73381,0.72884,0.39328,2.30669,6.11105,1.89383,0.000993245,0.000331082,0.000993245,0.000331082,0.000993245,0.000331082,0.000993245,0.000331082
13,538.457,1.2611,4.9067,1.31916,0.72446,0.71535,0.72571,0.394,2.21565,6.22019,1.85053,0.000986177,0.000328726,0.000986177,0.000328726,0.000986177,0.000328726,0.000986177,0.000328726
14,578.686,1.27136,4.58906,1.30347,0.74246,0.71872,0.72838,0.39671,2.22079,6.06862,1.86137,0.000979108,0.000326369,0.000979108,0.000326369,0.000979108,0.000326369,0.000979108,0.000326369
15,619.574,1.23102,4.33076,1.27454,0.72346,0.73785,0.73198,0.40522,2.2495,6.0929,1.8637,0.00097204,0.000324013,0.00097204,0.000324013,0.00097204,0.000324013,0.00097204,0.000324013
16,659.966,1.22887,4.36377,1.28723,0.73281,0.73363,0.73608,0.41139,2.20609,5.86656,1.8379,0.000964971,0.000321657,0.000964971,0.000321657,0.000964971,0.000321657,0.000964971,0.000321657
17,701.031,1.21154,4.15624,1.25863,0.75599,0.72948,0.73805,0.39365,2.34302,5.91195,1.95362,0.000957902,0.000319301,0.000957902,0.000319301,0.000957902,0.000319301,0.000957902,0.000319301
18,741.146,1.19936,4.0635,1.26581,0.74475,0.75156,0.74705,0.40592,2.29354,5.88326,1.93791,0.000950834,0.000316945,0.000950834,0.000316945,0.000950834,0.000316945,0.000950834,0.000316945
19,781.901,1.19681,4.05344,1.24924,0.77048,0.72502,0.74718,0.42154,2.2036,5.88958,1.86656,0.000943765,0.000314588,0.000943765,0.000314588,0.000943765,0.000314588,0.000943765,0.000314588
20,821.884,1.18847,3.90635,1.25525,0.76246,0.74949,0.74169,0.40368,2.31214,5.79614,1.94658,0.000936697,0.000312232,0.000936697,0.000312232,0.000936697,0.000312232,0.000936697,0.000312232
21,860.798,1.20905,3.91528,1.26441,0.76431,0.73141,0.7404,0.40685,2.27057,5.78456,1.93429,0.000929628,0.000309876,0.000929628,0.000309876,0.000929628,0.000309876,0.000929628,0.000309876
22,898.923,1.17124,3.72294,1.23598,0.75583,0.74461,0.73797,0.41322,2.28398,5.61493,1.94029,0.000922559,0.00030752,0.000922559,0.00030752,0.000922559,0.00030752,0.000922559,0.00030752
23,937.218,1.15007,3.66605,1.22917,0.77336,0.75216,0.75482,0.43031,2.20262,5.86807,1.87784,0.000915491,0.000305164,0.000915491,0.000305164,0.000915491,0.000305164,0.000915491,0.000305164
24,975.47,1.15504,3.58867,1.22799,0.76207,0.74133,0.74465,0.41779,2.25609,5.61128,1.91534,0.000908422,0.000302807,0.000908422,0.000302807,0.000908422,0.000302807,0.000908422,0.000302807
25,1013.71,1.14437,3.56992,1.22447,0.77308,0.74912,0.75654,0.43779,2.15353,5.79365,1.83314,0.000901354,0.000300451,0.000901354,0.000300451,0.000901354,0.000300451,0.000901354,0.000300451
26,1052.13,1.12894,3.46063,1.21859,0.76728,0.76189,0.7531,0.43113,2.14754,5.82297,1.8774,0.000894285,0.000298095,0.000894285,0.000298095,0.000894285,0.000298095,0.000894285,0.000298095
27,1090.42,1.13521,3.39454,1.2097,0.76345,0.75147,0.74898,0.43541,2.18257,5.6864,1.87739,0.000887216,0.000295739,0.000887216,0.000295739,0.000887216,0.000295739,0.000887216,0.000295739
28,1128.59,1.12753,3.45677,1.22111,0.77406,0.75598,0.75106,0.42593,2.19881,5.72357,1.91886,0.000880148,0.000293383,0.000880148,0.000293383,0.000880148,0.000293383,0.000880148,0.000293383
29,1166.73,1.13457,3.4998,1.22849,0.77469,0.75018,0.74247,0.42809,2.14521,5.63513,1.85179,0.000873079,0.000291026,0.000873079,0.000291026,0.000873079,0.000291026,0.000873079,0.000291026
30,1204.75,1.10959,3.23668,1.19884,0.76093,0.74917,0.74665,0.42406,2.23117,5.76514,1.91813,0.000866011,0.00028867,0.000866011,0.00028867,0.000866011,0.00028867,0.000866011,0.00028867
31,1242.93,1.10636,3.29861,1.19852,0.76835,0.74396,0.74317,0.4183,2.26286,5.8734,1.9592,0.000858942,0.000286314,0.000858942,0.000286314,0.000858942,0.000286314,0.000858942,0.000286314
32,1281.02,1.09011,3.18192,1.19538,0.78295,0.73928,0.75416,0.43217,2.20401,5.77089,1.91843,0.000851873,0.000283958,0.000851873,0.000283958,0.000851873,0.000283958,0.000851873,0.000283958
33,1319.13,1.09097,3.22242,1.18373,0.77917,0.73927,0.74917,0.43137,2.18702,5.85337,1.91237,0.000844805,0.000281602,0.000844805,0.000281602,0.000844805,0.000281602,0.000844805,0.000281602
34,1357.51,1.09516,3.16294,1.2112,0.77391,0.74516,0.74892,0.43434,2.16838,5.77792,1.8887,0.000837736,0.000279245,0.000837736,0.000279245,0.000837736,0.000279245,0.000837736,0.000279245
35,1395.77,1.08374,3.09355,1.1862,0.77452,0.73993,0.7435,0.42891,2.17502,5.71704,1.90461,0.000830668,0.000276889,0.000830668,0.000276889,0.000830668,0.000276889,0.000830668,0.000276889
