epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.318,2.14052,27.6019,1.78426,0.79504,0.18494,0.22852,0.12823,2.29705,15.5321,1.70177,0.000117111,0.000117111,0.000117111
2,218.141,1.90157,15.4578,1.60186,0.70339,0.34292,0.37685,0.2375,1.69734,8.55054,1.46678,0.000233774,0.000233774,0.000233774
3,314.92,1.91394,13.0815,1.57206,0.70301,0.47201,0.48498,0.28074,1.94406,8.15033,1.62985,0.00034808,0.00034808,0.00034808
4,410.988,1.85439,11.0298,1.53517,0.67741,0.47331,0.51893,0.31322,1.89531,6.39086,1.56997,0.000346397,0.000346397,0.000346397
5,513.493,1.80031,9.2239,1.4967,0.5715,0.57721,0.62571,0.37388,1.78854,5.60376,1.47435,0.000342863,0.000342863,0.000342863
6,611.785,1.76207,8.37807,1.49073,0.70673,0.53753,0.60668,0.35523,1.78518,5.65267,1.45849,0.000339329,0.000339329,0.000339329
7,708.768,1.68955,7.44666,1.44733,0.74653,0.63004,0.69969,0.43548,1.66626,4.58448,1.42731,0.000335794,0.000335794,0.000335794
8,805.845,1.68884,7.10721,1.45997,0.70879,0.71006,0.71877,0.43896,1.64929,4.4456,1.41765,0.00033226,0.00033226,0.00033226
9,902.123,1.6419,6.64666,1.46902,0.72168,0.72388,0.7954,0.46244,1.69827,4.59253,1.44309,0.000328726,0.000328726,0.000328726
10,995.95,1.59841,6.09412,1.37244,0.71131,0.75445,0.79781,0.47145,1.7021,4.15695,1.41516,0.000325191,0.000325191,0.000325191
