epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.963,2.22993,22.7716,1.81339,0.00011,0.06327,0.01877,0.01064,2.17135,19.4718,1.75654,0.00015,0.00015,0.08515
2,69.2801,1.98689,16.2805,1.69064,0.03345,0.07963,0.03732,0.02314,2.60705,21.5482,2.14392,0.000306931,0.000306931,0.0693069
3,91.469,1.90857,12.5355,1.61996,0.1265,0.3502,0.17942,0.09659,2.31886,18.404,2.02131,0.000460694,0.000460694,0.0534607
4,113.724,1.91005,10.5883,1.61177,0.54481,0.3011,0.27194,0.14127,2.43382,11.4655,1.95756,0.000611289,0.000611289,0.0376113
5,134.48,1.88199,10.1491,1.58698,0.40946,0.30489,0.26624,0.11947,2.59804,12.5239,2.17736,0.000758716,0.000758716,0.0217587
6,161.941,1.83429,9.66805,1.59112,0.43833,0.37928,0.34527,0.1763,2.04258,11.2384,1.74451,0.000902975,0.000902975,0.00590297
7,185.417,1.83244,8.96253,1.5277,0.4692,0.45774,0.3843,0.24366,1.79358,9.54251,1.52052,0.0009406,0.0009406,0.0009406
8,208.55,1.79849,8.41065,1.52419,0.43725,0.48618,0.35757,0.1942,2.10407,13.8067,1.73185,0.0009307,0.0009307,0.0009307
9,229.45,1.74832,8.17881,1.48223,0.58527,0.25523,0.26798,0.13806,2.21942,12.5246,1.82618,0.0009208,0.0009208,0.0009208
10,250.197,1.72559,8.00227,1.47902,0.62951,0.3346,0.38246,0.19733,2.20887,10.6434,1.76239,0.0009109,0.0009109,0.0009109
11,272.295,1.67727,7.38767,1.44293,0.54204,0.48894,0.48068,0.25419,2.16491,9.33234,1.76044,0.000901,0.000901,0.000901
12,295.189,1.70634,7.33449,1.47148,0.57975,0.56216,0.59443,0.36911,1.74267,6.8479,1.4838,0.0008911,0.0008911,0.0008911
13,319.31,1.71808,6.99352,1.44942,0.67851,0.57234,0.61739,0.37229,1.631,6.5408,1.40781,0.0008812,0.0008812,0.0008812
14,342.91,1.69608,7.01218,1.4324,0.6976,0.54199,0.58737,0.36708,1.63089,6.40447,1.40079,0.0008713,0.0008713,0.0008713
15,366.193,1.66777,6.88084,1.44862,0.57685,0.58793,0.63071,0.39207,1.61004,5.82388,1.38526,0.0008614,0.0008614,0.0008614
16,389.073,1.63673,6.62168,1.41245,0.66844,0.67411,0.68653,0.40856,1.66592,5.27585,1.41985,0.0008515,0.0008515,0.0008515
17,414.485,1.61307,6.74275,1.4304,0.75688,0.62227,0.71119,0.46307,1.5548,5.40683,1.36665,0.0008416,0.0008416,0.0008416
18,439.854,1.62563,6.20617,1.42372,0.66221,0.75672,0.76951,0.47617,1.56493,4.67505,1.36796,0.0008317,0.0008317,0.0008317
19,464.491,1.62019,6.38185,1.38824,0.68088,0.80488,0.79921,0.49469,1.53991,4.55879,1.37887,0.0008218,0.0008218,0.0008218
20,486.736,1.57163,6.01579,1.38222,0.81236,0.65304,0.76173,0.49011,1.53487,4.62314,1.38789,0.0008119,0.0008119,0.0008119
21,512.604,1.58667,5.72949,1.39834,0.80271,0.68127,0.80708,0.51119,1.5988,4.66046,1.40908,0.000802,0.000802,0.000802
22,541.879,1.62881,6.36932,1.40388,0.83665,0.69888,0.8479,0.5501,1.57232,4.61574,1.37954,0.0007921,0.0007921,0.0007921
23,568.141,1.55552,5.93086,1.39816,0.81632,0.77909,0.85779,0.54047,1.51544,4.32354,1.34057,0.0007822,0.0007822,0.0007822
24,595.222,1.59535,5.77093,1.40444,0.7992,0.7677,0.83335,0.53054,1.48906,4.4868,1.33447,0.0007723,0.0007723,0.0007723
25,617.124,1.58031,5.84807,1.4044,0.83634,0.73866,0.83016,0.52504,1.4801,4.2088,1.32079,0.0007624,0.0007624,0.0007624
26,640.09,1.53691,5.51222,1.3749,0.8367,0.7394,0.89561,0.57093,1.53362,4.15681,1.34257,0.0007525,0.0007525,0.0007525
27,660.962,1.53067,5.39461,1.36712,0.82881,0.72765,0.8605,0.56729,1.48181,4.24055,1.32271,0.0007426,0.0007426,0.0007426
28,683.281,1.5193,5.4739,1.38264,0.73963,0.84847,0.9001,0.55567,1.71111,4.10401,1.42208,0.0007327,0.0007327,0.0007327
29,703.95,1.52476,5.4324,1.33188,0.83401,0.82129,0.89109,0.56006,1.65159,3.92776,1.39257,0.0007228,0.0007228,0.0007228
30,725.198,1.53246,5.21355,1.34591,0.82048,0.80271,0.89168,0.59842,1.41459,3.78433,1.28425,0.0007129,0.0007129,0.0007129
31,746.645,1.53349,5.30877,1.36197,0.85111,0.7734,0.90747,0.57453,1.6348,3.7278,1.37387,0.000703,0.000703,0.000703
32,767.558,1.49288,5.11267,1.34607,0.83713,0.86378,0.91326,0.57342,1.67469,3.82894,1.38921,0.0006931,0.0006931,0.0006931
33,787.152,1.50498,5.01743,1.32384,0.79122,0.87599,0.91386,0.60414,1.45638,3.7035,1.30508,0.0006832,0.0006832,0.0006832
34,806.843,1.50042,4.98127,1.34122,0.82101,0.90176,0.89652,0.54541,1.75131,3.73112,1.43891,0.0006733,0.0006733,0.0006733
35,826.88,1.47982,4.75799,1.33524,0.75734,0.83426,0.90914,0.59749,1.49569,3.58318,1.30795,0.0006634,0.0006634,0.0006634
36,846.407,1.4481,4.76665,1.32057,0.90237,0.8318,0.94402,0.59934,1.51378,3.42183,1.31757,0.0006535,0.0006535,0.0006535
37,867.451,1.45359,4.72387,1.31997,0.81431,0.90568,0.92814,0.59602,1.63838,3.58081,1.36838,0.0006436,0.0006436,0.0006436
38,887.234,1.44154,4.71607,1.31941,0.81225,0.90085,0.95016,0.64756,1.47903,3.48532,1.31643,0.0006337,0.0006337,0.0006337
39,908.43,1.48625,4.54535,1.30767,0.89742,0.84085,0.95055,0.62268,1.54344,3.51346,1.33614,0.0006238,0.0006238,0.0006238
40,928.196,1.49581,4.7714,1.33273,0.87953,0.84211,0.95656,0.65335,1.38006,3.24565,1.24669,0.0006139,0.0006139,0.0006139
41,948.081,1.45073,4.6249,1.31561,0.89275,0.89354,0.97068,0.64312,1.56568,3.28288,1.33845,0.000604,0.000604,0.000604
42,969.013,1.45994,4.67108,1.34846,0.76658,0.94965,0.93617,0.61291,1.51491,3.48481,1.30635,0.0005941,0.0005941,0.0005941
43,989.964,1.44238,4.72828,1.31773,0.85557,0.93232,0.93593,0.64989,1.41829,3.05926,1.2498,0.0005842,0.0005842,0.0005842
44,1010.94,1.40728,4.40098,1.29273,0.88525,0.87289,0.94284,0.63432,1.46992,3.32082,1.30913,0.0005743,0.0005743,0.0005743
45,1030.42,1.38606,4.30485,1.30253,0.87145,0.92991,0.95183,0.66231,1.38513,3.1382,1.25437,0.0005644,0.0005644,0.0005644
46,1051.1,1.41804,4.34501,1.29873,0.89225,0.86782,0.93344,0.62347,1.4868,3.27512,1.3005,0.0005545,0.0005545,0.0005545
47,1071.06,1.38069,4.34452,1.28336,0.85641,0.93255,0.96157,0.65782,1.41402,3.03225,1.27028,0.0005446,0.0005446,0.0005446
48,1091.66,1.37766,4.2171,1.29089,0.88119,0.94761,0.97304,0.68381,1.30083,2.88999,1.21844,0.0005347,0.0005347,0.0005347
49,1111.59,1.35859,4.23241,1.26107,0.90815,0.89349,0.96476,0.66979,1.33692,2.96191,1.22615,0.0005248,0.0005248,0.0005248
