epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0999,1.83311,4.72902,1.92629,0.03631,0.01452,0.02611,0.01992,1.33421,4.02751,1.38575,0.00011067,0.00011067,0.00011067
2,40.1159,1.63956,4.03265,1.75526,0.01965,0.44463,0.1001,0.05497,1.6039,3.54593,1.51747,0.000222683,0.000222683,0.000222683
3,54.6682,1.49614,3.49827,1.58213,0.62519,0.27265,0.17275,0.10154,1.66209,2.67423,1.66883,0.000332435,0.000332435,0.000332435
4,69.0471,1.41685,3.07174,1.558,0.62344,0.3053,0.24841,0.13207,1.83897,2.28692,1.75886,0.000346397,0.000346397,0.000346397
5,85.9657,1.35277,2.75515,1.49831,0.67016,0.33926,0.31438,0.19849,1.63828,1.98141,1.58379,0.000342863,0.000342863,0.000342863
