epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,760.329,1.33071,4.49337,1.30605,0.77514,0.7652,0.76727,0.40556,2.33956,5.55703,1.89824,0.0005941,0.0005941,0.0005941
43,777.908,1.31326,4.38432,1.29598,0.7799,0.71629,0.75708,0.36007,2.60916,6.51752,2.09133,0.0005842,0.0005842,0.0005842
44,795.627,1.33838,4.43652,1.31467,0.76938,0.72326,0.75031,0.4204,2.193,5.98843,1.79593,0.0005743,0.0005743,0.0005743
45,813.257,1.31603,4.34647,1.29912,0.76138,0.75841,0.77034,0.42349,2.26332,5.80446,1.89543,0.0005644,0.0005644,0.0005644
46,830.779,1.3049,4.27768,1.29757,0.77138,0.73793,0.75309,0.37161,2.61171,5.86924,2.11103,0.0005545,0.0005545,0.0005545
47,848.501,1.32311,4.30703,1.31007,0.75402,0.75763,0.76095,0.42809,2.21644,5.75319,1.83681,0.0005446,0.0005446,0.0005446
48,866.001,1.31803,4.25012,1.30189,0.76254,0.73864,0.76295,0.42677,2.21047,5.51126,1.83479,0.0005347,0.0005347,0.0005347
49,883.473,1.28609,4.11853,1.27391,0.78587,0.73778,0.76716,0.36676,2.59157,5.98431,2.07987,0.0005248,0.0005248,0.0005248
50,901.001,1.2651,4.00935,1.26811,0.7826,0.74091,0.75277,0.39155,2.41114,6.05965,1.98547,0.0005149,0.0005149,0.0005149
51,918.466,1.27003,4.12018,1.27504,0.79398,0.7353,0.75817,0.40168,2.50633,6.38408,2.04124,0.000505,0.000505,0.000505
52,936.298,1.26696,4.06703,1.26765,0.81214,0.73805,0.76744,0.41637,2.32068,5.9134,1.91547,0.0004951,0.0004951,0.0004951
53,953.837,1.27277,4.0211,1.2808,0.79605,0.72287,0.75316,0.38869,2.41576,6.0477,1.97522,0.0004852,0.0004852,0.0004852
54,971.315,1.26664,4.05215,1.26798,0.77523,0.7521,0.76064,0.38311,2.50893,5.85916,2.06618,0.0004753,0.0004753,0.0004753
55,988.917,1.2544,4.04369,1.26794,0.76706,0.75698,0.75721,0.42262,2.25838,5.57862,1.88491,0.0004654,0.0004654,0.0004654
56,1006.61,1.23042,3.85902,1.2555,0.79223,0.7429,0.77047,0.43995,2.17854,5.72094,1.89742,0.0004555,0.0004555,0.0004555
57,1024.24,1.24507,3.88518,1.2652,0.79173,0.74921,0.76495,0.40898,2.32184,5.57634,1.94789,0.0004456,0.0004456,0.0004456
