Type,Start,End,Length (mm)
Line,"(467, 334)","(561, 267)",6.130053194831249
Line,"(561, 267)","(475, 204)",5.66128937659323
Line,"(471, 204)","(391, 245)",4.773788651964667
Line,"(391, 245)","(476, 334)",6.535511912746157
Line,"(476, 334)","(560, 266)",5.73920920324602
Line,"(560, 266)","(471, 204)",5.760054599603352
Line,"(471, 204)","(391, 245)",4.773788651964667
Line,"(391, 245)","(476, 334)",6.535511912746157
Line,"(476, 334)","(560, 266)",5.73920920324602
Line,"(560, 266)","(471, 204)",5.760054599603352
Line,"(471, 204)","(391, 245)",4.773788651964667
Line,"(391, 245)","(476, 334)",6.535511912746157
Line,"(476, 334)","(561, 267)",5.747556434115196
Line,"(561, 267)","(471, 204)",5.833998028361328
Line,"(475, 204)","(391, 242)",4.895985210230216
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 267)",6.130053194831249
Line,"(561, 267)","(475, 204)",5.66128937659323
Line,"(475, 204)","(391, 242)",4.895985210230216
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(559, 269)",5.981971410120133
Line,"(559, 269)","(475, 204)",5.640328959617661
Line,"(475, 204)","(389, 249)",5.154412081216371
Line,"(389, 249)","(467, 334)",6.126371757252855
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(475, 204)",5.587079204084449
Line,"(475, 204)","(391, 242)",4.895985210230216
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 267)",6.086887333073232
Line,"(560, 267)","(475, 204)",5.618537523501048
Line,"(474, 204)","(390, 248)",5.035687642040637
Line,"(390, 248)","(467, 334)",6.130053194831249
Line,"(467, 334)","(560, 267)",6.086887333073232
Line,"(560, 267)","(474, 204)",5.66128937659323
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(475, 204)","(390, 246)",5.034847543999139
Line,"(390, 246)","(467, 334)",6.209584499007177
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(475, 204)",5.587079204084449
Line,"(473, 204)","(391, 242)",4.799417148294048
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 267)",6.130053194831249
Line,"(561, 267)","(473, 204)",5.747311100364828
Line,"(478, 204)","(391, 242)",5.041564408634211
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(478, 204)",5.459175255718142
Line,"(475, 204)","(391, 242)",4.895985210230216
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 267)",6.130053194831249
Line,"(561, 267)","(475, 204)",5.66128937659323
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(559, 267)",6.0438797802006565
Line,"(559, 267)","(474, 204)",5.618537523501048
Line,"(475, 204)","(390, 250)",5.132480646433303
Line,"(390, 250)","(467, 334)",6.051340787322186
Line,"(467, 334)","(559, 267)",6.0438797802006565
Line,"(559, 267)","(475, 204)",5.5759636439252045
Line,"(504, 204)","(391, 242)",6.331017476670248
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(493, 220)",4.31585698852537
Line,"(493, 220)","(504, 204)",1.0311012407875015
Line,"(471, 204)","(391, 247)",4.82315574694391
Line,"(391, 247)","(476, 334)",6.459121315391799
Line,"(476, 334)","(560, 266)",5.73920920324602
Line,"(560, 266)","(471, 204)",5.760054599603352
Line,"(475, 204)","(391, 242)",4.895985210230216
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 271)",6.009252125773316
Line,"(561, 271)","(475, 204)",5.789355617499848
Line,"(475, 204)","(391, 242)",4.895985210230216
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 271)",6.009252125773316
Line,"(561, 271)","(475, 204)",5.789355617499848
Line,"(475, 204)","(391, 242)",4.895985210230216
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 267)",6.130053194831249
Line,"(561, 267)","(475, 204)",5.66128937659323
Line,"(471, 204)","(391, 245)",4.773788651964667
Line,"(391, 245)","(476, 334)",6.535511912746157
Line,"(476, 334)","(560, 266)",5.73920920324602
Line,"(560, 266)","(471, 204)",5.760054599603352
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(483, 204)","(391, 242)",5.285957090025043
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 272)",5.979849600185171
Line,"(561, 272)","(483, 204)",5.495216604225422
Line,"(472, 204)","(391, 245)",4.821108877275288
Line,"(391, 245)","(482, 335)",6.796742858162096
Line,"(482, 335)","(486, 318)",0.9274287484622942
Line,"(486, 318)","(560, 266)",4.802941381162746
Line,"(560, 266)","(472, 204)",5.716561467709448
Line,"(471, 204)","(387, 248)",5.035687642040637
Line,"(387, 248)","(476, 334)",6.572301686942331
Line,"(476, 334)","(560, 266)",5.73920920324602
Line,"(560, 266)","(471, 204)",5.760054599603352
Line,"(471, 204)","(388, 246)",4.939852554480881
Line,"(388, 246)","(476, 334)",6.60888666620355
Line,"(476, 334)","(560, 266)",5.73920920324602
Line,"(560, 266)","(471, 204)",5.760054599603352
Line,"(474, 204)","(389, 249)",5.107419152610369
Line,"(389, 249)","(467, 334)",6.126371757252855
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 271)",6.009252125773316
Line,"(561, 271)","(474, 204)",5.831338793651039
Line,"(474, 204)","(385, 244)",5.181695842020292
Line,"(385, 244)","(467, 334)",6.465667060390213
Line,"(467, 334)","(561, 271)",6.009252125773316
Line,"(561, 271)","(474, 204)",5.831338793651039
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(471, 204)","(391, 245)",4.773788651964667
Line,"(391, 245)","(476, 334)",6.535511912746157
Line,"(476, 334)","(561, 267)",5.747556434115196
Line,"(561, 267)","(471, 204)",5.833998028361328
Line,"(472, 204)","(391, 245)",4.821108877275288
Line,"(391, 245)","(481, 339)",6.910923042836211
Line,"(481, 339)","(485, 318)",1.1352427430864294
Line,"(485, 318)","(561, 270)",4.773493271668498
Line,"(561, 270)","(472, 204)",5.884055524811416
Line,"(474, 204)","(389, 248)",5.082788936481077
Line,"(389, 248)","(467, 334)",6.16560332900224
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 267)",6.130053194831249
Line,"(561, 267)","(474, 204)",5.704215201584689
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(563, 265)",6.278235711951435
Line,"(563, 265)","(474, 204)",5.729865554972454
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(474, 204)","(389, 249)",5.107419152610369
Line,"(389, 249)","(467, 334)",6.126371757252855
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(471, 204)","(391, 245)",4.773788651964667
Line,"(391, 245)","(476, 334)",6.535511912746157
Line,"(476, 334)","(559, 266)",5.698032036759234
Line,"(559, 266)","(471, 204)",5.716561467709448
Line,"(474, 204)","(389, 248)",5.082788936481077
Line,"(389, 248)","(467, 334)",6.16560332900224
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(473, 204)","(391, 242)",4.799417148294048
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(562, 267)",6.17337404466299
Line,"(562, 267)","(473, 204)",5.7905732756513935
Line,"(475, 204)","(391, 242)",4.895985210230216
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(475, 204)",5.587079204084449
Line,"(471, 204)","(391, 245)",4.773788651964667
Line,"(391, 245)","(476, 334)",6.535511912746157
Line,"(476, 334)","(561, 268)",5.714834596151049
Line,"(561, 268)","(471, 204)",5.864612776912441
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(559, 267)",6.0438797802006565
Line,"(559, 267)","(474, 204)",5.618537523501048
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 267)",6.086887333073232
Line,"(560, 267)","(474, 204)",5.66128937659323
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(563, 267)",6.21684664255931
Line,"(563, 267)","(474, 204)",5.7905732756513935
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 271)",6.009252125773316
Line,"(561, 271)","(474, 204)",5.831338793651039
Line,"(473, 204)","(391, 242)",4.799417148294048
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(473, 204)",5.6732319885329465
Line,"(482, 204)","(391, 242)",5.236913967930103
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(482, 204)",5.2912894399031165
Line,"(474, 204)","(387, 253)",5.302469920069618
Line,"(387, 253)","(467, 334)",6.045745895190769
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(474, 204)","(384, 249)",5.343528749093224
Line,"(384, 249)","(467, 334)",6.3089297406648335
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(471, 204)","(391, 251)",4.92727711679321
Line,"(391, 251)","(476, 334)",6.3089297406648335
Line,"(476, 334)","(560, 266)",5.73920920324602
Line,"(560, 266)","(471, 204)",5.760054599603352
Line,"(471, 204)","(391, 245)",4.773788651964667
Line,"(391, 245)","(476, 334)",6.535511912746157
Line,"(476, 334)","(560, 266)",5.73920920324602
Line,"(560, 266)","(471, 204)",5.760054599603352
Line,"(471, 204)","(391, 245)",4.773788651964667
Line,"(391, 245)","(476, 334)",6.535511912746157
Line,"(476, 334)","(561, 269)",5.682420621294704
Line,"(561, 269)","(471, 204)",5.895546896535543
Line,"(471, 204)","(384, 253)",5.302469920069618
Line,"(384, 253)","(476, 334)",6.509353762641835
Line,"(476, 334)","(560, 266)",5.73920920324602
Line,"(560, 266)","(471, 204)",5.760054599603352
Line,"(475, 204)","(384, 246)",5.322376647270364
Line,"(384, 246)","(468, 334)",6.460430994966353
Line,"(468, 334)","(560, 266)",6.0752936930996855
Line,"(560, 266)","(475, 204)",5.587079204084449
Line,"(475, 204)","(382, 259)",5.737734901932168
Line,"(382, 259)","(402, 264)",1.0947755746908363
Line,"(402, 264)","(392, 246)",1.093486844903696
Line,"(392, 246)","(467, 334)",6.140165766964121
Line,"(467, 334)","(561, 266)",6.161027741485936
Line,"(561, 266)","(475, 204)",5.630069940529246
Line,"(475, 204)","(391, 242)",4.895985210230216
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 266)",6.161027741485936
Line,"(561, 266)","(475, 204)",5.630069940529246
Line,"(474, 204)","(388, 251)",5.20450366817395
Line,"(388, 251)","(467, 334)",6.085033835060383
Line,"(467, 334)","(561, 267)",6.130053194831249
Line,"(561, 267)","(474, 204)",5.704215201584689
Line,"(474, 204)","(387, 249)",5.2015226197193245
Line,"(387, 249)","(467, 334)",6.1986753310787375
Line,"(467, 334)","(560, 267)",6.086887333073232
Line,"(560, 267)","(474, 204)",5.66128937659323
Line,"(474, 204)","(385, 243)",5.1601536373634955
Line,"(385, 243)","(467, 334)",6.505019971374046
Line,"(467, 334)","(561, 267)",6.130053194831249
Line,"(561, 267)","(474, 204)",5.704215201584689
Line,"(475, 204)","(392, 246)",4.939852554480881
Line,"(392, 246)","(467, 334)",6.140165766964121
Line,"(467, 334)","(559, 268)",6.012770766921377
Line,"(559, 268)","(475, 204)",5.607987213481895
Line,"(475, 204)","(390, 248)",5.082788936481077
Line,"(390, 248)","(467, 334)",6.130053194831249
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(475, 204)",5.587079204084449
Line,"(474, 204)","(386, 245)",5.155506203937509
Line,"(386, 245)","(467, 334)",6.390648130724995
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(475, 204)","(384, 246)",5.322376647270364
Line,"(384, 246)","(467, 334)",6.423878536681148
Line,"(467, 334)","(561, 275)",5.893633223874063
Line,"(561, 275)","(475, 204)",5.922273385535109
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(475, 204)","(391, 242)",4.895985210230216
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(475, 204)",5.587079204084449
Line,"(471, 204)","(389, 247)",4.916964199893509
Line,"(389, 247)","(476, 334)",6.533785681360328
Line,"(476, 334)","(559, 266)",5.698032036759234
Line,"(559, 266)","(471, 204)",5.716561467709448
Line,"(475, 204)","(391, 242)",4.895985210230216
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 271)",6.009252125773316
Line,"(561, 271)","(475, 204)",5.789355617499848
Line,"(475, 204)","(391, 242)",4.895985210230216
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(475, 204)",5.587079204084449
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 271)",6.009252125773316
Line,"(561, 271)","(474, 204)",5.831338793651039
Line,"(474, 204)","(385, 252)",5.3698517101133145
Line,"(385, 252)","(467, 334)",6.158280757144217
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(473, 204)","(389, 247)",5.011267619922972
Line,"(389, 247)","(467, 334)",6.205041343219721
Line,"(467, 334)","(560, 267)",6.086887333073232
Line,"(560, 267)","(473, 204)",5.704215201584689
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(473, 204)","(389, 246)",4.987293499153675
Line,"(389, 246)","(467, 334)",6.2446818885715
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(473, 204)",5.6732319885329465
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 271)",6.009252125773316
Line,"(561, 271)","(474, 204)",5.831338793651039
Line,"(475, 204)","(390, 247)",5.058596297699797
Line,"(390, 247)","(467, 334)",6.169718456455149
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(475, 204)",5.587079204084449
Line,"(473, 204)","(388, 251)",5.157967131486787
Line,"(388, 251)","(467, 334)",6.085033835060383
Line,"(467, 334)","(559, 268)",6.012770766921377
Line,"(559, 268)","(473, 204)",5.692832988392348
Line,"(475, 204)","(391, 242)",4.895985210230216
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 271)",6.009252125773316
Line,"(561, 271)","(475, 204)",5.789355617499848
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 267)",6.130053194831249
Line,"(561, 267)","(474, 204)",5.704215201584689
Line,"(473, 204)","(389, 245)",4.963771740605827
Line,"(389, 245)","(467, 334)",6.284521132573607
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(473, 204)",5.6732319885329465
Line,"(474, 204)","(385, 246)",5.226132867523843
Line,"(385, 246)","(467, 334)",6.387558408755877
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(493, 220)",4.31585698852537
Line,"(493, 220)","(511, 214)",1.007585443719757
Line,"(511, 214)","(474, 204)",2.0353613918633404
Line,"(474, 204)","(387, 251)",5.2511648319681035
Line,"(387, 251)","(467, 334)",6.121766846983085
Line,"(467, 334)","(561, 271)",6.009252125773316
Line,"(561, 271)","(474, 204)",5.831338793651039
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(471, 204)","(387, 246)",4.987293499153675
Line,"(387, 246)","(476, 334)",6.6465432326160645
Line,"(476, 334)","(560, 266)",5.73920920324602
Line,"(560, 266)","(471, 204)",5.760054599603352
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 267)",6.130053194831249
Line,"(561, 267)","(474, 204)",5.704215201584689
Line,"(474, 204)","(392, 241)",4.777331790986801
Line,"(392, 241)","(389, 256)",0.8123413550702442
Line,"(389, 256)","(467, 334)",5.857876817771328
Line,"(467, 334)","(559, 268)",6.012770766921377
Line,"(559, 268)","(474, 204)",5.650319807868407
Line,"(471, 204)","(392, 241)",4.632580371933688
Line,"(392, 241)","(391, 257)",0.8513285460315614
Line,"(391, 257)","(476, 334)",6.090592636921529
Line,"(476, 334)","(559, 266)",5.698032036759234
Line,"(559, 266)","(471, 204)",5.716561467709448
Line,"(471, 204)","(392, 241)",4.632580371933688
Line,"(392, 241)","(389, 256)",0.8123413550702442
Line,"(389, 256)","(476, 334)",6.205041343219721
Line,"(476, 334)","(559, 266)",5.698032036759234
Line,"(559, 266)","(471, 204)",5.716561467709448
Line,"(474, 204)","(387, 251)",5.2511648319681035
Line,"(387, 251)","(467, 334)",6.121766846983085
Line,"(467, 334)","(560, 267)",6.086887333073232
Line,"(560, 267)","(474, 204)",5.66128937659323
Line,"(474, 204)","(386, 252)",5.3231713679249095
Line,"(386, 252)","(467, 334)",6.1208454491983675
Line,"(467, 334)","(561, 266)",6.161027741485936
Line,"(561, 266)","(474, 204)",5.6732319885329465
Line,"(474, 204)","(389, 245)",5.011548985837678
Line,"(389, 245)","(467, 334)",6.284521132573607
Line,"(467, 334)","(561, 271)",6.009252125773316
Line,"(561, 271)","(474, 204)",5.831338793651039
Line,"(471, 204)","(390, 253)",5.027280344215396
Line,"(390, 253)","(476, 334)",6.273742270413897
Line,"(476, 334)","(560, 266)",5.73920920324602
Line,"(560, 266)","(471, 204)",5.760054599603352
Line,"(471, 204)","(390, 248)",4.895121136591656
Line,"(390, 248)","(476, 334)",6.458684696517106
Line,"(476, 334)","(562, 267)",5.789355617499848
Line,"(562, 267)","(471, 204)",5.8775817550319145
Line,"(474, 204)","(388, 247)",5.106038582466858
Line,"(388, 247)","(467, 334)",6.24061619298392
Line,"(467, 334)","(561, 271)",6.009252125773316
Line,"(561, 271)","(474, 204)",5.831338793651039
Line,"(474, 204)","(389, 253)",5.2101900243889885
Line,"(389, 253)","(467, 334)",5.971590950254159
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(471, 204)","(387, 256)",5.246329256840329
Line,"(387, 256)","(476, 334)",6.284521132573607
Line,"(476, 334)","(560, 266)",5.73920920324602
Line,"(560, 266)","(471, 204)",5.760054599603352
Line,"(474, 204)","(387, 248)",5.177340102389933
Line,"(387, 248)","(467, 334)",6.2374521531361
Line,"(467, 334)","(559, 268)",6.012770766921377
Line,"(559, 268)","(474, 204)",5.650319807868407
Line,"(475, 204)","(385, 241)",5.167526264391446
Line,"(385, 241)","(467, 334)",6.584305117935288
Line,"(467, 334)","(561, 267)",6.130053194831249
Line,"(561, 267)","(475, 204)",5.66128937659323
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 267)",6.130053194831249
Line,"(561, 267)","(474, 204)",5.704215201584689
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(559, 268)",6.012770766921377
Line,"(559, 268)","(474, 204)",5.650319807868407
Line,"(473, 204)","(391, 242)",4.799417148294048
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(562, 267)",6.17337404466299
Line,"(562, 267)","(473, 204)",5.7905732756513935
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(474, 204)",5.630069940529246
Line,"(474, 204)","(388, 248)",5.130007492718945
Line,"(388, 248)","(467, 334)",6.201404422199106
Line,"(467, 334)","(559, 269)",5.981971410120133
Line,"(559, 269)","(474, 204)",5.682420621294704
Line,"(504, 209)","(469, 205)",1.8707533220881312
Line,"(469, 205)","(388, 250)",4.920690802066632
Line,"(388, 250)","(467, 334)",6.123609226634151
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(493, 220)",4.31585698852537
Line,"(493, 220)","(515, 227)",1.22601063896625
Line,"(515, 227)","(504, 209)",1.1202388755010557
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(559, 268)",6.012770766921377
Line,"(559, 268)","(474, 204)",5.650319807868407
Line,"(475, 204)","(391, 242)",4.895985210230216
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(559, 269)",5.981971410120133
Line,"(559, 269)","(475, 204)",5.640328959617661
Line,"(474, 204)","(389, 253)",5.2101900243889885
Line,"(389, 253)","(467, 334)",5.971590950254159
Line,"(467, 334)","(559, 268)",6.012770766921377
Line,"(559, 268)","(474, 204)",5.650319807868407
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 267)",6.086887333073232
Line,"(560, 267)","(474, 204)",5.66128937659323
Line,"(473, 204)","(391, 242)",4.799417148294048
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 266)",6.161027741485936
Line,"(561, 266)","(473, 204)",5.716561467709448
Line,"(473, 204)","(391, 242)",4.799417148294048
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(559, 268)",6.012770766921377
Line,"(559, 268)","(473, 204)",5.692832988392348
Line,"(475, 204)","(388, 248)",5.177340102389933
Line,"(388, 248)","(467, 334)",6.201404422199106
Line,"(467, 334)","(559, 267)",6.0438797802006565
Line,"(559, 267)","(475, 204)",5.5759636439252045
Line,"(473, 204)","(391, 242)",4.799417148294048
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(473, 204)",5.6732319885329465
Line,"(475, 204)","(387, 248)",5.224783665780041
Line,"(387, 248)","(467, 334)",6.2374521531361
Line,"(467, 334)","(561, 267)",6.130053194831249
Line,"(561, 267)","(475, 204)",5.66128937659323
Line,"(474, 204)","(389, 249)",5.107419152610369
Line,"(389, 249)","(467, 334)",6.126371757252855
Line,"(467, 334)","(561, 267)",6.130053194831249
Line,"(561, 267)","(474, 204)",5.704215201584689
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 267)",6.086887333073232
Line,"(560, 267)","(474, 204)",5.66128937659323
Line,"(471, 204)","(391, 245)",4.773788651964667
Line,"(391, 245)","(476, 334)",6.535511912746157
Line,"(476, 334)","(559, 266)",5.698032036759234
Line,"(559, 266)","(471, 204)",5.716561467709448
Line,"(471, 204)","(391, 253)",4.981918801668541
Line,"(391, 253)","(476, 334)",6.235191141660379
Line,"(476, 334)","(561, 268)",5.714834596151049
Line,"(561, 268)","(471, 204)",5.864612776912441
Line,"(475, 204)","(391, 242)",4.895985210230216
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(559, 267)",6.0438797802006565
Line,"(559, 267)","(475, 204)",5.5759636439252045
Line,"(475, 204)","(391, 242)",4.895985210230216
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(559, 267)",6.0438797802006565
Line,"(559, 267)","(475, 204)",5.5759636439252045
Line,"(475, 204)","(391, 242)",4.895985210230216
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(560, 267)",6.086887333073232
Line,"(560, 267)","(475, 204)",5.618537523501048
Line,"(475, 204)","(391, 242)",4.895985210230216
Line,"(391, 242)","(467, 334)",6.337028043324712
Line,"(467, 334)","(561, 271)",6.009252125773316
Line,"(561, 271)","(475, 204)",5.789355617499848
Line,"(471, 204)","(389, 253)",5.072792182829379
Line,"(389, 253)","(476, 334)",6.312504711763835
Line,"(476, 334)","(562, 267)",5.789355617499848
Line,"(562, 267)","(471, 204)",5.8775817550319145
Line,"(471, 204)","(391, 245)",4.773788651964667
Line,"(391, 245)","(476, 334)",6.535511912746157
Line,"(476, 334)","(560, 266)",5.73920920324602
Line,"(560, 266)","(471, 204)",5.760054599603352
Line,"(474, 204)","(383, 249)",5.391079092774096
Line,"(383, 249)","(467, 334)",6.346144314411268
Line,"(467, 334)","(559, 268)",6.012770766921377
Line,"(559, 268)","(474, 204)",5.650319807868407
Line,"(475, 204)","(390, 247)",5.058596297699797
Line,"(390, 247)","(467, 334)",6.169718456455149
Line,"(467, 334)","(560, 266)",6.1180804232557975
Line,"(560, 266)","(475, 204)",5.587079204084449
Line,"(474, 204)","(391, 242)",4.8476507704354885
Line,"(391, 242)","(467, 334)",6.337028043324712
