epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,332.489,0,123.197,0,0,0,0,0,0,173.402,0,0.00026775,8.925e-05,0.00026775,8.925e-05,0.00026775,8.925e-05,0.00026775,8.925e-05
2,595.824,0,121.047,0,0,0,0,0,0,172.112,0,0.000540803,0.000180268,0.000540803,0.000180268,0.000540803,0.000180268,0.000540803,0.000180268
3,839.927,0,117.327,0,0,0,0,0,0,169.918,0,0.000808342,0.000269447,0.000808342,0.000269447,0.000808342,0.000269447,0.000808342,0.000269447
