epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,50.8778,2.25577,50.582,2.03521,0.05492,0.1025,0.05463,0.04181,1.61263,29.3667,1.43806,0.000353567,0.000117856,0.000353567,0.000117856,0.000353567,0.000117856,0.000353567,0.000117856
2,99.8887,2.06674,34.2093,1.93689,0.44413,0.19085,0.17667,0.10822,1.78421,21.6233,1.56721,0.000705878,0.000235293,0.000705878,0.000235293,0.000705878,0.000235293,0.000705878,0.000235293
3,145.341,1.85931,24.613,1.75957,0.40546,0.40654,0.33234,0.1771,2.05153,16.9269,1.74739,0.00105348,0.000351158,0.00105348,0.000351158,0.00105348,0.000351158,0.00105348,0.000351158
4,190.909,1.72497,18.1633,1.63317,0.46832,0.52236,0.48263,0.24798,2.09749,14.6206,1.68798,0.00104979,0.000349931,0.00104979,0.000349931,0.00104979,0.000349931,0.00104979,0.000349931
5,235.099,1.60388,14.3267,1.5356,0.49541,0.57069,0.57738,0.28946,2.18009,13.3686,1.7152,0.00104273,0.000347575,0.00104273,0.000347575,0.00104273,0.000347575,0.00104273,0.000347575
6,279.452,1.52342,12.1607,1.48253,0.57007,0.63222,0.6387,0.32695,2.1655,12.2735,1.70351,0.00103566,0.000345219,0.00103566,0.000345219,0.00103566,0.000345219,0.00103566,0.000345219
7,323.576,1.48019,11.1517,1.45586,0.65978,0.62031,0.66923,0.34213,2.17567,12.0863,1.72497,0.00102859,0.000342863,0.00102859,0.000342863,0.00102859,0.000342863,0.00102859,0.000342863
8,367.724,1.4335,10.0316,1.41201,0.63852,0.62901,0.6748,0.36222,2.06645,12.3012,1.66561,0.00102152,0.000340507,0.00102152,0.000340507,0.00102152,0.000340507,0.00102152,0.000340507
9,411.895,1.39024,9.27825,1.3925,0.68618,0.6353,0.69983,0.36632,2.16995,11.8858,1.74154,0.00101445,0.00033815,0.00101445,0.00033815,0.00101445,0.00033815,0.00101445,0.00033815
10,455.889,1.3499,8.69095,1.36147,0.71539,0.64168,0.71074,0.38815,2.08587,11.4323,1.69492,0.00100738,0.000335794,0.00100738,0.000335794,0.00100738,0.000335794,0.00100738,0.000335794
11,500.157,1.32718,7.98353,1.35009,0.69938,0.67449,0.72388,0.38856,2.13008,11.4589,1.73069,0.00100031,0.000333438,0.00100031,0.000333438,0.00100031,0.000333438,0.00100031,0.000333438
