epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,8652.51,1.15988,2.66176,1.41344,0.58423,0.35797,0.34988,0.23539,1.23651,2.6859,1.38518,0.000763516,0.000254505,0.000763516,0.000254505,0.000763516,0.000254505,0.000763516,0.000254505
31,8909.12,1.14943,2.58962,1.39596,0.63212,0.38959,0.35502,0.24607,1.19286,2.60928,1.35199,0.000752913,0.000250971,0.000752913,0.000250971,0.000752913,0.000250971,0.000752913,0.000250971
32,9167.46,1.14564,2.54619,1.37381,0.68465,0.36204,0.37036,0.24623,1.23234,2.62668,1.38034,0.00074231,0.000247437,0.00074231,0.000247437,0.00074231,0.000247437,0.00074231,0.000247437
33,9424.48,1.11491,2.52015,1.36287,0.54638,0.40968,0.38406,0.24736,1.32132,2.61421,1.44386,0.000731707,0.000243902,0.000731707,0.000243902,0.000731707,0.000243902,0.000731707,0.000243902
34,9678.3,1.11446,2.55227,1.37405,0.54448,0.44871,0.39213,0.26374,1.23463,2.58298,1.38492,0.000721104,0.000240368,0.000721104,0.000240368,0.000721104,0.000240368,0.000721104,0.000240368
35,9932.32,1.10517,2.4984,1.35511,0.53569,0.44167,0.40051,0.27591,1.23102,2.5653,1.37517,0.000710501,0.000236834,0.000710501,0.000236834,0.000710501,0.000236834,0.000710501,0.000236834
36,10186.4,1.15112,2.50722,1.39391,0.53445,0.45787,0.41126,0.29011,1.14229,2.52201,1.3121,0.000699898,0.000233299,0.000699898,0.000233299,0.000699898,0.000233299,0.000699898,0.000233299
37,10439.7,1.13363,2.522,1.37895,0.5493,0.47291,0.41946,0.28399,1.17572,2.54014,1.34162,0.000689296,0.000229765,0.000689296,0.000229765,0.000689296,0.000229765,0.000689296,0.000229765
38,10695.1,1.08666,2.42426,1.35931,0.55275,0.47447,0.42186,0.28535,1.19213,2.49611,1.35432,0.000678693,0.000226231,0.000678693,0.000226231,0.000678693,0.000226231,0.000678693,0.000226231
39,10951.3,1.09855,2.38951,1.35038,0.55668,0.47949,0.43468,0.29976,1.20991,2.47654,1.36413,0.00066809,0.000222697,0.00066809,0.000222697,0.00066809,0.000222697,0.00066809,0.000222697
40,11211.1,1.08715,2.40115,1.36746,0.57546,0.465,0.43367,0.29431,1.23132,2.46275,1.37729,0.000657487,0.000219162,0.000657487,0.000219162,0.000657487,0.000219162,0.000657487,0.000219162
41,11469.4,1.09537,2.38354,1.33712,0.57685,0.46257,0.43943,0.29802,1.19894,2.44783,1.35819,0.000646884,0.000215628,0.000646884,0.000215628,0.000646884,0.000215628,0.000646884,0.000215628
42,11726.5,1.07398,2.33976,1.34758,0.58351,0.46286,0.43739,0.29547,1.22314,2.4151,1.37394,0.000636281,0.000212094,0.000636281,0.000212094,0.000636281,0.000212094,0.000636281,0.000212094
43,11979,1.09989,2.37058,1.35241,0.58111,0.50168,0.43824,0.29608,1.21015,2.42305,1.35582,0.000625678,0.000208559,0.000625678,0.000208559,0.000625678,0.000208559,0.000625678,0.000208559
44,12232.3,1.09136,2.31937,1.34519,0.57573,0.50195,0.43491,0.29648,1.17665,2.377,1.33939,0.000615075,0.000205025,0.000615075,0.000205025,0.000615075,0.000205025,0.000615075,0.000205025
45,12486.3,1.07148,2.28147,1.3296,0.59096,0.51779,0.4384,0.30558,1.12561,2.33415,1.30541,0.000604472,0.000201491,0.000604472,0.000201491,0.000604472,0.000201491,0.000604472,0.000201491
46,12745.4,1.07587,2.32292,1.32995,0.59968,0.49243,0.43787,0.30353,1.15455,2.37474,1.31748,0.000593869,0.000197957,0.000593869,0.000197957,0.000593869,0.000197957,0.000593869,0.000197957
47,13013.6,1.06529,2.32424,1.32391,0.58136,0.45449,0.43776,0.30602,1.12857,2.4066,1.30259,0.000583267,0.000194422,0.000583267,0.000194422,0.000583267,0.000194422,0.000583267,0.000194422
48,13271.4,1.06011,2.24215,1.33714,0.59147,0.51225,0.45438,0.31852,1.13254,2.32485,1.31179,0.000572664,0.000190888,0.000572664,0.000190888,0.000572664,0.000190888,0.000572664,0.000190888
49,13526.3,1.0527,2.18002,1.32431,0.59738,0.52107,0.45943,0.31654,1.19414,2.30929,1.35266,0.000562061,0.000187354,0.000562061,0.000187354,0.000562061,0.000187354,0.000562061,0.000187354
50,13782.8,1.09108,2.29999,1.37091,0.63113,0.53932,0.47258,0.32094,1.18636,2.34677,1.3469,0.000551458,0.000183819,0.000551458,0.000183819,0.000551458,0.000183819,0.000551458,0.000183819
51,14036.9,1.0571,2.27268,1.32486,0.64004,0.49844,0.46099,0.31732,1.17395,2.29469,1.33964,0.000540855,0.000180285,0.000540855,0.000180285,0.000540855,0.000180285,0.000540855,0.000180285
52,14292.1,1.04479,2.19699,1.3212,0.60965,0.55391,0.46005,0.31239,1.18626,2.29458,1.35092,0.000530252,0.000176751,0.000530252,0.000176751,0.000530252,0.000176751,0.000530252,0.000176751
53,14546,1.05319,2.20468,1.32994,0.66145,0.47745,0.45693,0.31727,1.11959,2.28002,1.29455,0.000519649,0.000173216,0.000519649,0.000173216,0.000519649,0.000173216,0.000519649,0.000173216
54,14799.8,1.0751,2.2429,1.32648,0.66537,0.47301,0.45926,0.31686,1.16275,2.2636,1.32095,0.000509046,0.000169682,0.000509046,0.000169682,0.000509046,0.000169682,0.000509046,0.000169682
55,15057,1.06095,2.17267,1.31768,0.62615,0.49332,0.45783,0.31853,1.12686,2.25084,1.3073,0.000498443,0.000166148,0.000498443,0.000166148,0.000498443,0.000166148,0.000498443,0.000166148
56,15316.7,1.0802,2.31103,1.34707,0.63991,0.49298,0.45633,0.30835,1.19126,2.27156,1.35159,0.00048784,0.000162613,0.00048784,0.000162613,0.00048784,0.000162613,0.00048784,0.000162613
